Prescision,Recall,F1-score,Accuracy
1.0,0.9523809523809523,0.975609756097561,0.9523809523809523
1.0,0.3,0.4615384615384615,0.3
1.0,0.375,0.5454545454545454,0.375
1.0,0.3,0.4615384615384615,0.3
1.0,0.5555555555555556,0.7142857142857143,0.5555555555555556
0.0,0.0,0.0,0.0
1.0,0.4,0.5714285714285715,0.4
1.0,1.0,1.0,1.0
1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464
0.0,0.0,0.0,0.0
1.0,0.6,0.7499999999999999,0.6
1.0,0.4444444444444444,0.6153846153846153,0.4444444444444444
1.0,0.6,0.7499999999999999,0.6
1.0,0.6,0.7499999999999999,0.6
1.0,0.9,0.9473684210526316,0.9
1.0,0.6,0.7499999999999999,0.6
0.0,0.0,0.0,0.0
1.0,0.4,0.5714285714285715,0.4
1.0,0.6,0.7499999999999999,0.6
1.0,0.8,0.888888888888889,0.8
1.0,0.7,0.8235294117647058,0.7
1.0,0.9,0.9473684210526316,0.9
1.0,0.7,0.8235294117647058,0.7
1.0,0.4,0.5714285714285715,0.4
1.0,0.42857142857142855,0.6,0.42857142857142855
1.0,0.30434782608695654,0.4666666666666667,0.30434782608695654
1.0,0.5,0.6666666666666666,0.5
0.0,0.0,0.0,0.0
1.0,0.6,0.7499999999999999,0.6
1.0,0.7272727272727273,0.8421052631578948,0.7272727272727273
1.0,0.8,0.888888888888889,0.8
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.16666666666666666,0.2857142857142857,0.16666666666666666
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.875,0.9333333333333333,0.875
1.0,0.2727272727272727,0.42857142857142855,0.2727272727272727
1.0,0.3333333333333333,0.5,0.3333333333333333
1.0,0.9090909090909091,0.9523809523809523,0.9090909090909091
1.0,0.2,0.33333333333333337,0.2
1.0,0.5384615384615384,0.7000000000000001,0.5384615384615384
1.0,0.5454545454545454,0.7058823529411764,0.5454545454545454
1.0,0.2,0.33333333333333337,0.2
1.0,0.3333333333333333,0.5,0.3333333333333333
1.0,1.0,1.0,1.0
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.8,0.888888888888889,0.8
1.0,0.9,0.9473684210526316,0.9
1.0,0.6428571428571429,0.782608695652174,0.6428571428571429
1.0,0.7692307692307693,0.8695652173913044,0.7692307692307693
1.0,0.9,0.9473684210526316,0.9
1.0,0.9,0.9473684210526316,0.9
1.0,0.46153846153846156,0.631578947368421,0.46153846153846156
1.0,1.0,1.0,1.0
1.0,0.2,0.33333333333333337,0.2
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.5,0.6666666666666666,0.5
1.0,0.6428571428571429,0.782608695652174,0.6428571428571429
1.0,0.9,0.9473684210526316,0.9
1.0,0.3,0.4615384615384615,0.3
1.0,0.7333333333333333,0.846153846153846,0.7333333333333333
1.0,0.9,0.9473684210526316,0.9
1.0,0.5555555555555556,0.7142857142857143,0.5555555555555556
1.0,0.5,0.6666666666666666,0.5
1.0,0.9,0.9473684210526316,0.9
1.0,0.9,0.9473684210526316,0.9
1.0,0.9,0.9473684210526316,0.9
1.0,0.5,0.6666666666666666,0.5
1.0,0.9,0.9473684210526316,0.9
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.7,0.8235294117647058,0.7
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.5,0.6666666666666666,0.5
1.0,0.2,0.33333333333333337,0.2
1.0,0.4,0.5714285714285715,0.4
1.0,0.08571428571428572,0.15789473684210528,0.08571428571428572
1.0,0.5384615384615384,0.7000000000000001,0.5384615384615384
1.0,0.2857142857142857,0.4444444444444445,0.2857142857142857
1.0,0.47368421052631576,0.6428571428571429,0.47368421052631576
1.0,1.0,1.0,1.0
1.0,0.4583333333333333,0.6285714285714286,0.4583333333333333
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,0.5,0.6666666666666666,0.5
1.0,0.9285714285714286,0.962962962962963,0.9285714285714286
1.0,0.21428571428571427,0.35294117647058826,0.21428571428571427
1.0,0.4166666666666667,0.5882352941176471,0.4166666666666667
1.0,0.36363636363636365,0.5333333333333333,0.36363636363636365
1.0,0.4,0.5714285714285715,0.4
1.0,0.5,0.6666666666666666,0.5
1.0,0.13333333333333333,0.23529411764705882,0.13333333333333333
1.0,0.6923076923076923,0.8181818181818181,0.6923076923076923
1.0,0.23809523809523808,0.3846153846153846,0.23809523809523808
0.0,0.0,0.0,0.0
1.0,0.5263157894736842,0.6896551724137931,0.5263157894736842
1.0,0.2857142857142857,0.4444444444444445,0.2857142857142857
1.0,0.3125,0.47619047619047616,0.3125
1.0,0.2962962962962963,0.45714285714285713,0.2962962962962963
1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464
1.0,0.4,0.5714285714285715,0.4
1.0,1.0,1.0,1.0
1.0,0.4666666666666667,0.6363636363636364,0.4666666666666667
1.0,0.5,0.6666666666666666,0.5
1.0,0.5333333333333333,0.6956521739130436,0.5333333333333333
1.0,0.4,0.5714285714285715,0.4
1.0,0.6363636363636364,0.7777777777777778,0.6363636363636364
1.0,0.52,0.6842105263157895,0.52
1.0,0.5555555555555556,0.7142857142857143,0.5555555555555556
1.0,0.15789473684210525,0.2727272727272727,0.15789473684210525
1.0,0.2631578947368421,0.4166666666666667,0.2631578947368421
1.0,0.45454545454545453,0.625,0.45454545454545453
1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714
1.0,0.35,0.5185185185185185,0.35
1.0,0.42857142857142855,0.6,0.42857142857142855
1.0,0.75,0.8571428571428571,0.75
1.0,0.5,0.6666666666666666,0.5
1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.9230769230769231,0.9600000000000001,0.9230769230769231
1.0,0.9,0.9473684210526316,0.9
1.0,0.7647058823529411,0.8666666666666666,0.7647058823529411
1.0,0.875,0.9333333333333333,0.875
1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714
1.0,0.8181818181818182,0.9,0.8181818181818182
1.0,0.6470588235294118,0.7857142857142858,0.6470588235294118
1.0,0.8148148148148148,0.8979591836734693,0.8148148148148148
1.0,1.0,1.0,1.0
1.0,0.9,0.9473684210526316,0.9
1.0,0.75,0.8571428571428571,0.75
1.0,0.8125,0.896551724137931,0.8125
1.0,0.9,0.9473684210526316,0.9
1.0,0.46153846153846156,0.631578947368421,0.46153846153846156
1.0,0.75,0.8571428571428571,0.75
1.0,0.8571428571428571,0.923076923076923,0.8571428571428571
1.0,0.8,0.888888888888889,0.8
1.0,1.0,1.0,1.0
1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
1.0,0.6428571428571429,0.782608695652174,0.6428571428571429
1.0,1.0,1.0,1.0
1.0,0.8214285714285714,0.9019607843137255,0.8214285714285714
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.4166666666666667,0.5882352941176471,0.4166666666666667
0.0,0.0,0.0,0.0
1.0,0.3,0.4615384615384615,0.3
1.0,0.3,0.4615384615384615,0.3
1.0,0.2222222222222222,0.3636363636363636,0.2222222222222222
1.0,0.18181818181818182,0.3076923076923077,0.18181818181818182
0.0,0.0,0.0,0.0
1.0,0.7,0.8235294117647058,0.7
1.0,0.2,0.33333333333333337,0.2
1.0,0.42857142857142855,0.6,0.42857142857142855
1.0,0.5,0.6666666666666666,0.5
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.3333333333333333,0.5,0.3333333333333333
1.0,0.6,0.7499999999999999,0.6
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.5,0.6666666666666666,0.5
0.0,0.0,0.0,0.0
1.0,0.2,0.33333333333333337,0.2
1.0,0.5454545454545454,0.7058823529411764,0.5454545454545454
1.0,0.4166666666666667,0.5882352941176471,0.4166666666666667
1.0,0.47368421052631576,0.6428571428571429,0.47368421052631576
1.0,0.1111111111111111,0.19999999999999998,0.1111111111111111
1.0,0.6,0.7499999999999999,0.6
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.7222222222222222,0.8387096774193548,0.7222222222222222
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.8,0.888888888888889,0.8
1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
1.0,0.7,0.8235294117647058,0.7
1.0,0.9090909090909091,0.9523809523809523,0.9090909090909091
1.0,0.7272727272727273,0.8421052631578948,0.7272727272727273
1.0,0.9523809523809523,0.975609756097561,0.9523809523809523
1.0,0.6875,0.8148148148148148,0.6875
1.0,0.8421052631578947,0.9142857142857143,0.8421052631578947
1.0,0.9615384615384616,0.9803921568627451,0.9615384615384616
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.9583333333333334,0.9787234042553191,0.9583333333333334
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.9523809523809523,0.975609756097561,0.9523809523809523
1.0,0.8125,0.896551724137931,0.8125
1.0,1.0,1.0,1.0
1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.6111111111111112,0.7586206896551725,0.6111111111111112
1.0,1.0,1.0,1.0
1.0,0.8518518518518519,0.92,0.8518518518518519
1.0,0.88,0.9361702127659575,0.88
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.9,0.9473684210526316,0.9
1.0,0.6875,0.8148148148148148,0.6875
1.0,0.7647058823529411,0.8666666666666666,0.7647058823529411
1.0,1.0,1.0,1.0
1.0,0.4583333333333333,0.6285714285714286,0.4583333333333333
1.0,0.7,0.8235294117647058,0.7
1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
1.0,1.0,1.0,1.0
1.0,0.6470588235294118,0.7857142857142858,0.6470588235294118
1.0,0.8,0.888888888888889,0.8
1.0,0.45454545454545453,0.625,0.45454545454545453
1.0,0.9,0.9473684210526316,0.9
1.0,1.0,1.0,1.0
1.0,0.35714285714285715,0.5263157894736842,0.35714285714285715
1.0,0.8,0.888888888888889,0.8
1.0,0.4375,0.6086956521739131,0.4375
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.7058823529411765,0.8275862068965517,0.7058823529411765
0.0,0.0,0.0,0.0
1.0,0.75,0.8571428571428571,0.75
1.0,0.8,0.888888888888889,0.8
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
1.0,0.8,0.888888888888889,0.8
1.0,0.8,0.888888888888889,0.8
1.0,1.0,1.0,1.0
1.0,0.8,0.888888888888889,0.8
0.0,0.0,0.0,0.0
1.0,0.6,0.7499999999999999,0.6
1.0,1.0,1.0,1.0
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.3,0.4615384615384615,0.3
1.0,0.5,0.6666666666666666,0.5
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.875,0.9333333333333333,0.875
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,1.0,1.0,1.0
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,0.5,0.6666666666666666,0.5
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.3,0.4615384615384615,0.3
1.0,1.0,1.0,1.0
1.0,0.8125,0.896551724137931,0.8125
1.0,0.8,0.888888888888889,0.8
1.0,0.6956521739130435,0.8205128205128205,0.6956521739130435
0.0,0.0,0.0,0.0
1.0,0.75,0.8571428571428571,0.75
1.0,0.43478260869565216,0.6060606060606061,0.43478260869565216
1.0,0.4782608695652174,0.6470588235294118,0.4782608695652174
1.0,0.45454545454545453,0.625,0.45454545454545453
1.0,0.4444444444444444,0.6153846153846153,0.4444444444444444
1.0,0.625,0.7692307692307693,0.625
1.0,1.0,1.0,1.0
1.0,0.7894736842105263,0.8823529411764706,0.7894736842105263
1.0,0.9375,0.967741935483871,0.9375
1.0,0.625,0.7692307692307693,0.625
1.0,0.6,0.7499999999999999,0.6
1.0,0.6,0.7499999999999999,0.6
1.0,0.6428571428571429,0.782608695652174,0.6428571428571429
1.0,0.6,0.7499999999999999,0.6
1.0,0.9,0.9473684210526316,0.9
1.0,0.375,0.5454545454545454,0.375
1.0,0.8,0.888888888888889,0.8
1.0,0.75,0.8571428571428571,0.75
1.0,0.8,0.888888888888889,0.8
1.0,0.9,0.9473684210526316,0.9
1.0,0.8571428571428571,0.923076923076923,0.8571428571428571
1.0,0.9375,0.967741935483871,0.9375
1.0,0.8125,0.896551724137931,0.8125
1.0,1.0,1.0,1.0
1.0,0.875,0.9333333333333333,0.875
1.0,0.875,0.9333333333333333,0.875
1.0,0.5,0.6666666666666666,0.5
1.0,0.8095238095238095,0.8947368421052632,0.8095238095238095
1.0,0.75,0.8571428571428571,0.75
1.0,0.9090909090909091,0.9523809523809523,0.9090909090909091
1.0,0.8,0.888888888888889,0.8
1.0,0.8,0.888888888888889,0.8
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,1.0,1.0,1.0
1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.8571428571428571,0.923076923076923,0.8571428571428571
1.0,0.84,0.9130434782608696,0.84
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,1.0,1.0,1.0
1.0,0.75,0.8571428571428571,0.75
1.0,1.0,1.0,1.0
1.0,0.6923076923076923,0.8181818181818181,0.6923076923076923
1.0,1.0,1.0,1.0
1.0,0.9,0.9473684210526316,0.9
1.0,0.7058823529411765,0.8275862068965517,0.7058823529411765
1.0,0.42857142857142855,0.6,0.42857142857142855
1.0,0.7,0.8235294117647058,0.7
1.0,0.4444444444444444,0.6153846153846153,0.4444444444444444
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.8,0.888888888888889,0.8
1.0,0.6,0.7499999999999999,0.6
1.0,0.7,0.8235294117647058,0.7
1.0,0.55,0.7096774193548387,0.55
1.0,0.5555555555555556,0.7142857142857143,0.5555555555555556
1.0,0.375,0.5454545454545454,0.375
1.0,0.6,0.7499999999999999,0.6
1.0,0.6842105263157895,0.8125000000000001,0.6842105263157895
1.0,0.8,0.888888888888889,0.8
1.0,0.9,0.9473684210526316,0.9
1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714
1.0,0.6,0.7499999999999999,0.6
1.0,0.6956521739130435,0.8205128205128205,0.6956521739130435
1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143
1.0,0.5,0.6666666666666666,0.5
1.0,0.625,0.7692307692307693,0.625
1.0,0.6,0.7499999999999999,0.6
1.0,0.7,0.8235294117647058,0.7
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.4230769230769231,0.5945945945945945,0.4230769230769231
1.0,0.75,0.8571428571428571,0.75
1.0,0.8571428571428571,0.923076923076923,0.8571428571428571
1.0,0.2,0.33333333333333337,0.2
0.0,0.0,0.0,0.0
1.0,0.2222222222222222,0.3636363636363636,0.2222222222222222
0.0,0.0,0.0,0.0
1.0,0.3076923076923077,0.47058823529411764,0.3076923076923077
1.0,0.2692307692307692,0.42424242424242425,0.2692307692307692
1.0,0.1,0.18181818181818182,0.1
1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0
1.0,0.6470588235294118,0.7857142857142858,0.6470588235294118
0.0,0.0,0.0,0.0
1.0,0.29411764705882354,0.45454545454545453,0.29411764705882354
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.5,0.6666666666666666,0.5
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,0.20833333333333334,0.3448275862068966,0.20833333333333334
1.0,0.375,0.5454545454545454,0.375
1.0,0.75,0.8571428571428571,0.75
1.0,0.4,0.5714285714285715,0.4
1.0,1.0,1.0,1.0
1.0,0.5555555555555556,0.7142857142857143,0.5555555555555556
1.0,0.6,0.7499999999999999,0.6
1.0,0.4444444444444444,0.6153846153846153,0.4444444444444444
1.0,0.5,0.6666666666666666,0.5
1.0,0.8,0.888888888888889,0.8
1.0,0.7,0.8235294117647058,0.7
1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143
1.0,0.8,0.888888888888889,0.8
1.0,0.8,0.888888888888889,0.8
1.0,0.875,0.9333333333333333,0.875
1.0,0.6,0.7499999999999999,0.6
1.0,0.9,0.9473684210526316,0.9
1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143
1.0,0.6923076923076923,0.8181818181818181,0.6923076923076923
1.0,0.8181818181818182,0.9,0.8181818181818182
1.0,0.4,0.5714285714285715,0.4
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.4782608695652174,0.6470588235294118,0.4782608695652174
1.0,0.625,0.7692307692307693,0.625
1.0,0.8,0.888888888888889,0.8
1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714
1.0,1.0,1.0,1.0
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,1.0,1.0,1.0
1.0,0.6,0.7499999999999999,0.6
1.0,0.7692307692307693,0.8695652173913044,0.7692307692307693
1.0,1.0,1.0,1.0
1.0,0.8,0.888888888888889,0.8
1.0,0.9333333333333333,0.9655172413793104,0.9333333333333333
1.0,1.0,1.0,1.0
1.0,0.625,0.7692307692307693,0.625
1.0,0.8,0.888888888888889,0.8
1.0,0.9,0.9473684210526316,0.9
1.0,0.7,0.8235294117647058,0.7
1.0,0.9,0.9473684210526316,0.9
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,0.9,0.9473684210526316,0.9
1.0,0.9,0.9473684210526316,0.9
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.7,0.8235294117647058,0.7
1.0,0.75,0.8571428571428571,0.75
1.0,0.6470588235294118,0.7857142857142858,0.6470588235294118
1.0,0.75,0.8571428571428571,0.75
1.0,0.8,0.888888888888889,0.8
1.0,0.9230769230769231,0.9600000000000001,0.9230769230769231
1.0,0.8666666666666667,0.9285714285714286,0.8666666666666667
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.8,0.888888888888889,0.8
1.0,1.0,1.0,1.0
1.0,0.5,0.6666666666666666,0.5
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.7,0.8235294117647058,0.7
1.0,1.0,1.0,1.0
1.0,0.4117647058823529,0.5833333333333334,0.4117647058823529
1.0,0.9,0.9473684210526316,0.9
1.0,0.9,0.9473684210526316,0.9
1.0,1.0,1.0,1.0
1.0,0.8461538461538461,0.9166666666666666,0.8461538461538461
1.0,0.7,0.8235294117647058,0.7
1.0,1.0,1.0,1.0
1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.7692307692307693,0.8695652173913044,0.7692307692307693
1.0,0.8947368421052632,0.9444444444444444,0.8947368421052632
1.0,0.9285714285714286,0.962962962962963,0.9285714285714286
1.0,0.9130434782608695,0.9545454545454545,0.9130434782608695
0.0,0.0,0.0,0.0
1.0,0.3,0.4615384615384615,0.3
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.7,0.8235294117647058,0.7
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.5,0.6666666666666666,0.5
1.0,0.8421052631578947,0.9142857142857143,0.8421052631578947
1.0,1.0,1.0,1.0
1.0,0.5,0.6666666666666666,0.5
1.0,0.6774193548387096,0.8076923076923077,0.6774193548387096
1.0,0.875,0.9333333333333333,0.875
1.0,0.8,0.888888888888889,0.8
1.0,0.4,0.5714285714285715,0.4
1.0,0.5,0.6666666666666666,0.5
1.0,0.625,0.7692307692307693,0.625
0.0,0.0,0.0,0.0
1.0,0.5,0.6666666666666666,0.5
1.0,0.6,0.7499999999999999,0.6
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.8,0.888888888888889,0.8
1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143
1.0,1.0,1.0,1.0
1.0,0.6363636363636364,0.7777777777777778,0.6363636363636364
1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.9333333333333333,0.9655172413793104,0.9333333333333333
1.0,0.9375,0.967741935483871,0.9375
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143
1.0,1.0,1.0,1.0
1.0,0.8666666666666667,0.9285714285714286,0.8666666666666667
1.0,1.0,1.0,1.0
1.0,0.75,0.8571428571428571,0.75
1.0,1.0,1.0,1.0
1.0,0.625,0.7692307692307693,0.625
1.0,0.9,0.9473684210526316,0.9
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.9375,0.967741935483871,0.9375
1.0,0.7692307692307693,0.8695652173913044,0.7692307692307693
1.0,1.0,1.0,1.0
1.0,0.7307692307692307,0.8444444444444443,0.7307692307692307
1.0,0.8823529411764706,0.9375,0.8823529411764706
1.0,0.8,0.888888888888889,0.8
1.0,0.8,0.888888888888889,0.8
1.0,0.7222222222222222,0.8387096774193548,0.7222222222222222
1.0,0.3333333333333333,0.5,0.3333333333333333
1.0,0.8,0.888888888888889,0.8
1.0,0.45454545454545453,0.625,0.45454545454545453
1.0,0.46153846153846156,0.631578947368421,0.46153846153846156
1.0,0.18518518518518517,0.3125,0.18518518518518517
1.0,0.3333333333333333,0.5,0.3333333333333333
1.0,0.3333333333333333,0.5,0.3333333333333333
1.0,0.3333333333333333,0.5,0.3333333333333333
1.0,1.0,1.0,1.0
1.0,0.4375,0.6086956521739131,0.4375
1.0,0.6875,0.8148148148148148,0.6875
1.0,0.3,0.4615384615384615,0.3
1.0,0.125,0.2222222222222222,0.125
1.0,1.0,1.0,1.0
1.0,0.4666666666666667,0.6363636363636364,0.4666666666666667
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,0.14285714285714285,0.25,0.14285714285714285
1.0,0.9166666666666666,0.9565217391304348,0.9166666666666666
1.0,0.4,0.5714285714285715,0.4
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.5294117647058824,0.6923076923076924,0.5294117647058824
1.0,0.5,0.6666666666666666,0.5
1.0,1.0,1.0,1.0
1.0,0.5,0.6666666666666666,0.5
1.0,0.9090909090909091,0.9523809523809523,0.9090909090909091
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.5454545454545454,0.7058823529411764,0.5454545454545454
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.8,0.888888888888889,0.8
1.0,0.88,0.9361702127659575,0.88
1.0,0.9,0.9473684210526316,0.9
1.0,0.875,0.9333333333333333,0.875
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,0.7,0.8235294117647058,0.7
1.0,0.75,0.8571428571428571,0.75
1.0,0.47058823529411764,0.6399999999999999,0.47058823529411764
1.0,1.0,1.0,1.0
1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143
1.0,0.7,0.8235294117647058,0.7
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,1.0,1.0,1.0
1.0,0.9,0.9473684210526316,0.9
1.0,0.8,0.888888888888889,0.8
1.0,0.68,0.8095238095238095,0.68
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143
1.0,0.8275862068965517,0.9056603773584906,0.8275862068965517
1.0,0.8461538461538461,0.9166666666666666,0.8461538461538461
1.0,0.7058823529411765,0.8275862068965517,0.7058823529411765
1.0,0.9090909090909091,0.9523809523809523,0.9090909090909091
1.0,0.2857142857142857,0.4444444444444445,0.2857142857142857
1.0,0.75,0.8571428571428571,0.75
1.0,0.22580645161290322,0.3684210526315789,0.22580645161290322
1.0,1.0,1.0,1.0
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,1.0,1.0,1.0
1.0,0.8,0.888888888888889,0.8
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.7692307692307693,0.8695652173913044,0.7692307692307693
1.0,1.0,1.0,1.0
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.8,0.888888888888889,0.8
1.0,0.7692307692307693,0.8695652173913044,0.7692307692307693
1.0,1.0,1.0,1.0
1.0,0.6,0.7499999999999999,0.6
1.0,0.8125,0.896551724137931,0.8125
1.0,0.6875,0.8148148148148148,0.6875
1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
1.0,0.8,0.888888888888889,0.8
1.0,0.9,0.9473684210526316,0.9
1.0,0.45454545454545453,0.625,0.45454545454545453
1.0,0.625,0.7692307692307693,0.625
1.0,0.6,0.7499999999999999,0.6
1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714
1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143
1.0,0.8709677419354839,0.9310344827586207,0.8709677419354839
1.0,0.5454545454545454,0.7058823529411764,0.5454545454545454
1.0,0.8181818181818182,0.9,0.8181818181818182
1.0,0.8,0.888888888888889,0.8
1.0,0.6,0.7499999999999999,0.6
1.0,0.5333333333333333,0.6956521739130436,0.5333333333333333
1.0,1.0,1.0,1.0
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,0.9,0.9473684210526316,0.9
1.0,0.5909090909090909,0.7428571428571429,0.5909090909090909
1.0,0.5333333333333333,0.6956521739130436,0.5333333333333333
1.0,0.6190476190476191,0.7647058823529412,0.6190476190476191
1.0,0.6428571428571429,0.782608695652174,0.6428571428571429
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.8,0.888888888888889,0.8
1.0,0.6,0.7499999999999999,0.6
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.8,0.888888888888889,0.8
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,0.8,0.888888888888889,0.8
1.0,0.8,0.888888888888889,0.8
1.0,0.9,0.9473684210526316,0.9
1.0,0.6842105263157895,0.8125000000000001,0.6842105263157895
1.0,0.75,0.8571428571428571,0.75
1.0,0.8571428571428571,0.923076923076923,0.8571428571428571
1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
1.0,0.5294117647058824,0.6923076923076924,0.5294117647058824
1.0,0.8461538461538461,0.9166666666666666,0.8461538461538461
1.0,0.5263157894736842,0.6896551724137931,0.5263157894736842
1.0,0.6666666666666666,0.8,0.6666666666666666
1.0,1.0,1.0,1.0
1.0,0.2,0.33333333333333337,0.2
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.875,0.9333333333333333,0.875
1.0,0.9,0.9473684210526316,0.9
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,0.9,0.9473684210526316,0.9
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.2857142857142857,0.4444444444444445,0.2857142857142857
1.0,0.8,0.888888888888889,0.8
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778
1.0,0.9,0.9473684210526316,0.9
1.0,0.7333333333333333,0.846153846153846,0.7333333333333333
1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888
1.0,0.5,0.6666666666666666,0.5
1.0,0.6,0.7499999999999999,0.6
1.0,0.8,0.888888888888889,0.8
